id,snapshot_date,total,source_url
8156,2011-03-31,810,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2011&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2011-03-31,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2011&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2002-10-31,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=10%2F31%2F2002&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2002-10-31,1030,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=10%2F31%2F2002&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2002-10-31,235,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=10%2F31%2F2002&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2006-06-30,563,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=06%2F30%2F2006&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2006-06-30,1070,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=06%2F30%2F2006&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2006-06-30,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=06%2F30%2F2006&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2016-09-30,634,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=09%2F30%2F2016&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2016-09-30,902,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=09%2F30%2F2016&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2021-09-30,457,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=09%2F30%2F2021&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2021-09-30,93,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=09%2F30%2F2021&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2012-02-29,793,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=02%2F29%2F2012&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2012-02-29,1190,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=02%2F29%2F2012&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2012-02-29,1,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=02%2F29%2F2012&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2014-12-31,548,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=12%2F31%2F2014&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2014-12-31,605,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=12%2F31%2F2014&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2014-12-31,1,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=12%2F31%2F2014&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2007-01-31,982,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=01%2F31%2F2007&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2007-01-31,1312,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=01%2F31%2F2007&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2007-01-31,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=01%2F31%2F2007&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2010-04-30,823,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=04%2F30%2F2010&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2010-04-30,877,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=04%2F30%2F2010&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2010-04-30,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=04%2F30%2F2010&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2010-05-31,740,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2010&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2010-05-31,915,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2010&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2010-05-31,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2010&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2017-02-28,690,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=02%2F28%2F2017&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2017-02-28,878,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=02%2F28%2F2017&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2021-08-31,489,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=08%2F31%2F2021&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2021-08-31,77,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=08%2F31%2F2021&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
