id,snapshot_date,total,total_off_site,felony,misdemeanor,convicted_or_sentenced,detained_or_awaiting_trial,technical_parole_violators,source_url,source_url_2,federal_offense
9219,2020-02-01,249,0,6,17,2,200,18,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9220,2020-02-01,209,0,10,0,3,183,9,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9221,2020-02-01,8,0,0,0,0,10,4,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9222,2020-02-01,95,2,6,0,9,58,16,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9225,2020-02-01,3,0,0,0,0,3,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9226,2020-02-01,201,0,13,5,20,125,19,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9227,2020-02-01,119,0,10,0,5,85,16,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9228,2020-02-01,23,0,3,2,4,13,1,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9229,2020-02-01,429,67,25,6,10,272,27,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,66
9230,2020-02-01,10,4,1,0,0,5,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9231,2020-02-01,29,0,4,0,0,18,4,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9232,2020-02-01,187,34,3,0,1,139,5,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9234,2020-02-01,21,0,1,0,1,16,2,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9237,2020-02-01,41,0,17,1,2,19,2,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9238,2020-02-01,66,0,10,6,0,50,8,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9239,2020-02-01,40,0,3,0,1,22,2,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9240,2020-02-01,39,0,0,0,0,27,2,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9241,2020-02-01,187,0,13,3,18,169,4,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9242,2020-02-01,36,7,2,4,0,23,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9243,2020-02-01,117,0,11,1,3,76,3,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9244,2020-02-01,12,0,2,1,0,11,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9245,2020-02-01,29,4,1,2,0,19,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9246,2020-02-01,96,16,9,1,0,40,7,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9247,2020-02-01,191,1,8,0,1,166,5,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9249,2020-02-01,5,0,1,0,0,3,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9250,2020-02-01,100,55,6,1,1,32,4,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9251,2020-02-01,11,6,0,0,0,4,1,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9252,2020-02-01,46,0,5,3,0,36,1,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9253,2020-02-01,8,0,0,0,0,8,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
