id,snapshot_date,detained_or_awaiting_trial,total,source_url,source_url_2
6835,2017-09-01,860,1077,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6840,2017-09-01,47,51,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6841,2017-09-01,91,663,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6925,2017-09-01,170,621,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6844,2017-09-01,463,701,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6843,2017-09-01,71,96,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6845,2017-09-01,121,222,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6852,2017-09-01,3,129,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6920,2017-09-01,553,3144,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
9825,2017-09-01,97,176,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6854,2017-09-01,1099,1579,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6856,2017-09-01,114,182,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6857,2017-09-01,33,69,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6863,2017-09-01,48,121,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6864,2017-09-01,158,246,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6926,2017-09-01,358,635,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6865,2017-09-01,278,442,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6867,2017-09-01,905,1361,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6866,2017-09-01,1087,1683,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6869,2017-09-01,241,453,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6870,2017-09-01,93,240,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6871,2017-09-01,33,63,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6877,2017-09-01,266,401,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6876,2017-09-01,669,1211,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6878,2017-09-01,669,1020,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6881,2017-09-01,47,69,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6883,2017-09-01,636,1208,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6884,2017-09-01,328,510,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6850,2017-09-01,755,1000,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6847,2017-09-01,1724,2037,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6851,2017-09-01,376,645,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6887,2017-09-01,233,429,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6885,2017-09-01,27,38,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6889,2017-09-01,270,847,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6890,2017-09-01,129,218,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6894,2017-09-01,645,883,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6896,2017-09-01,934,1440,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6895,2017-09-01,501,667,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6898,2017-09-01,1275,1718,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
9777,2017-09-01,1504,2960,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6906,2017-09-01,200,450,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6907,2017-09-01,566,1318,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6908,2017-09-01,402,713,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6909,2017-09-01,536,962,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6910,2017-09-01,470,909,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6911,2017-09-01,277,387,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6912,2017-09-01,107,191,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6914,2017-09-01,32,39,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6917,2017-09-01,70,160,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6918,2017-09-01,178,278,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6919,2017-09-01,72,128,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-08.pdf
6830,2017-10-01,541,791,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6923,2017-10-01,207,1119,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6833,2017-10-01,75,142,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6834,2017-10-01,1277,1679,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6837,2017-10-01,1004,1116,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6839,2017-10-01,696,874,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6836,2017-10-01,690,809,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6835,2017-10-01,937,1122,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6840,2017-10-01,52,53,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6841,2017-10-01,82,640,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6925,2017-10-01,175,615,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6842,2017-10-01,251,372,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6844,2017-10-01,513,778,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6843,2017-10-01,17,24,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6845,2017-10-01,123,229,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6852,2017-10-01,3,115,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6920,2017-10-01,540,3106,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
9825,2017-10-01,92,180,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6854,2017-10-01,1063,1521,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6856,2017-10-01,125,195,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6857,2017-10-01,28,61,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6862,2017-10-01,42,66,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6863,2017-10-01,57,118,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6864,2017-10-01,173,268,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6926,2017-10-01,332,632,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6865,2017-10-01,262,424,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
